Id;Name;Cuit;Codigo;BankId
1;Bind PSP SA;30717449076;100;322
2;TF02;30717618870;101;322
3;TF03;30717618870;102;322
4;Lirium;30717618870;200;322
5;Credicuotas;30710911580;201;322
6;Bloxcross;30717449076;202;322
7;Astropay;30717585921;203;322
14;Tarjeta SuCredito;30685709410;204;322
15;Elebar;30635071555;205;322
16;Octopus;30717077675;206;322
17;Tarjeta unica;33710449959;208;322
18;MasDelivery;30714372307;209;322
19;BindPSP pagos Cencosud;30717618870;210;322
20;Bind PSP liquidaciones cta 2;30717449076;210;0
21;Bind PSP liquidaciones cta 3;30717449076;210;0
22;Bind PSP liquidaciones cta 4;30717449076;210;0
23;Bind PSP liquidaciones cta 6;30717449076;210;0
24;Bind PSP liquidaciones cta 7;30717449076;210;0
25;Bind PSP liquidaciones cta 8;30717449076;210;0
26;Bind PSP liquidaciones cta 9;30717449076;210;0
27;Bind PSP liquidaciones cta 10;30717449076;210;0
28;Bind PSP liquidaciones cta 11;30717449076;210;0
29;Bind PSP liquidaciones cta 12;30717449076;210;0
30;Bind PSP liquidaciones cta 13;30717449076;210;0
31;Bind PSP liquidaciones cta 14;30717449076;210;0
32;Bind PSP liquidaciones cta 15;30717449076;210;0
33;Bind PSP liquidaciones cta 16;30717449076;210;0
34;Bind PSP liquidaciones cta 17;30717449076;210;0
35;Bind PSP liquidaciones cta 18;30717449076;210;0
36;Bind PSP liquidaciones cta 19;30717449076;210;0
37;Bind PSP liquidaciones cta 20;30717449076;210;0
38;Bind PSP liquidaciones cta 21;30717449076;210;0
39;RapiCuotas;30715008501;207;322
40;Banelsip;30710903812;211;322
41;FlexFintech;30716023938;212;322
42;Tarjeta Valor;30709438030;213;322
43;Credito Directo;30712101136;214;322
44;Tradeneo;30715919245;215;322
45;Bind QA;30685029959;216;322
46;Travel Rock;30707881182;216;322
47;Ripsa;30681348359;218;322
48;Citygas;30661762574;219;322
49;Binco;30718559347;220;322
50;RyG Gestiones;30719086523;221;322
51;Cobrosnet;30718176774;222;322
52;Astropay;30717449076;223;322
53;Astropay;30717449076;224;322
54;Astropay USD;30717449076;225;322
55;Cucuru;30717688496;226;322
56;Tinsa;30707586377;227;322
57;Pay Evolution;30718754867;228;322
58;Jugadon San Luis;30605979048;230;322
