Id;Nombre;Cuit;Codigo;AdministradorNombre
1;EntidadPosberry;30500049460;1;COELSA
2;EntidadBindPagos;30200049421;2;COELSA
201;POSTBERRY.TEST;30685029959;M;COELSA
301;POSBerry;30685029959;T;COELSA
302;TFINTERNA;30717618870;Z;COELSA
305;CobroExpress;30707586377;C;COELSA
306;ELIQ;30717845850;E;COELSA
307;BINDPAGO;30685029959;B;COELSA
308;RIPSA;30681348359;R;COELSA
309;Provincia NET;30704950345;P;COELSA
310;CREDICUOTAS;30685029959;D;COELSA
311;FAVACARD;30685029959;F;COELSA
312;ASZI;30685029959;A;COELSA
313;ECOM;30685029959;O;COELSA
314;Astropay;30717585921;G;COELSA
315;TIPEANDO;30685029959;H;COELSA
316;Cliper;30611194397;I;COELSA
317;Tarjeta Sucredito;30685709410;J;COELSA
318;FAVACARD;30604994779;K;COELSA
319;TIENDAJUBILO;30715672916;L;COELSA
320;HELIPAGOS;30710749139;N;COELSA
321;ULTRA;30712678506;Q;COELSA
322;Farmacloud;30632378056;S;COELSA
323;CREDIMAS;30619540146;U;COELSA
324;CIENCIAS ECONOMICAS;30531183491;V;COELSA
325;Tarjeta Sucredito;30685709410;W;COELSA
326;Pronto Pago;30697467277;X;COELSA
327;ELEBAR;30635071555;Y;COELSA
328;TIENDAJUBILO;30715672916;3;COELSA
329;Travel Dreamers;30717979105;4;COELSA
330;reservado ***;11111111111;9;no usar
331;INTERFAST;30716248794;5;COELSA
332;RIPSA;30681348359;6;COELSA
333;BIND PSP;30685029959;7;COELSA
334;Cheff Gourmet;30712305483;8;COELSA
335;Cajero24;30716832151;A001;COELSA
336;INTERFAST;30716248794;A002;COELSA
337;HiConsorcios;30716248794;A003;COELSA
338;HiConsorcios;30716248794;A004;COELSA
339;Octagon;30716047918;A005;COELSA
340;Octupus;30717077675;A006;COELSA
343;Tarjeta Unica;33710449959;A009;COELSA
345;MasDelivery;30714372307;A011;COELSA
346;Tarjeta Valor;30709438030;A012;COELSA
347;GoPay;30685709410;A013;COELSA
348;Captar Pagos;30714327131;A014;COELSA
349;TIN;30718081269;A015;COELSA
350;Tarjeta Valor;30709438030;A016;COELSA
351;RGM;30711286108;A017;COELSA
352;Tin;30718081269;A018;COELSA
353;RGM;30711286108;A019;COELSA
355;SurFinanzas;30717404021;SURF;COELSA
356;Drogueria Kellerhoff;30539756490;A020;COELSA
357;Servicios Urbanos;30710261896;A021;COELSA
358;Le Maitre Catering;30710325347;A022;COELSA
359;Tarjeta DATA;30681697965;A023;COELSA
360;PMC;30710903812;PMC;COELSA
361;RapiCuotas;30715008501;A024;COELSA
362;Octopus;30717077675;A025;COELSA
363;Localpayment;30716132028;A026;COELSA
364;Inswitch;33715990739;A027;COELSA
365;Eluter;30710702272;A028;COELSA
367;Eluter;30710702272;A030;COELSA
368;BajaCobro Express;30707586377;A029;COELSA
370;Tradeneo;30715919245;A031;COELSA
371;BIND PAGO QA;30685029959;A032;COELSA
372;FlexFintech;30716023938;A033;COELSA
373;Tinsa;30707586377;A034;COELSA
374;Rapifast;30716248794;A035;COELSA
375;Rapifast;30716248794;A036;COELSA
376;Captar Pagos;30714327131;A037;COELSA
377;CREDICUOTAS;30710911580;A038;COELSA
378;Desarrollos del Litoral;30709836850;A039;COELSA
379;Credito Directo;30712101136;A040;COELSA
380;Cruz del Sur;33710813499;A041;COELSA
382;Depay;30717983005;A042;COELSA
383;Beel Sur;30712458468;A043;COELSA
384;Waya SA;33718330179;A044;COELSA
385;Travel Rock;30707881182;A045;COELSA
386;City Gas;30661762574;A046;COELSA
387;Grupo Desa;30681348359;A047;COELSA
388;Travel Dreamers;30717979105;A048;COELSA
389;Grupo Desa;30681348359;A049;COELSA
390;Pay Evolution;30718754867;A050;COELSA
391;Vita;30717447243;A051;COELSA
392;Citygas;30661762574;A052;COELSA
393;Desarrollos del Litoral;30709836850;A053;COELSA
394;BINDPAGO2;30685029959;A054;COELSA
395;Servicios Virtuales Cobros;20255583515;A055;COELSA
396;Binco;30718559347;A056;COELSA
397;Servicios Virtuales Wallet;20255583515;A057;COELSA
398;Binco;30718559347;A058;COELSA
399;Daxia;30712452834;A059;COELSA
400;Vita;30717447243;A060;COELSA
401;TINSA;30707586377;A061;COELSA
402;Cobrosnet;30718176774;A062;COELSA
403;Prueba Alta;80552063504;9900;COELSA
404;Desarrollos del Litoral;30709836850;A063;COELSA
405;Cobrosnet;30718176774;A064;COELSA
406;TPAY;1115478978;TPAY;
407;Pagos Digitales;30717856283;A065;COELSA
408;Provincia Net;30704950345;A066;COELSA
409;Benajal;30718432185;A067;COELSA
410;Onepay;30718476425;A068;COELSA
411;Cucuru;30717688496;A069;COELSA
412;Octagon;30716047918;A070;COELSA
413;Encode;30711103534;A071;COELSA
414;Peak;30711424969;A072;COELSA
415;Encode;30711103534;A073;COELSA
416;Pay Evolution;30718754867;A074;COELSA
417;Mecaenpol;30717778886;A075;COELSA
418;Gran Mutual Argentina de Vivienda;30717621413;A076;COELSA
419;Alexander Fleming;30645337979;A077;COELSA
420;Inswtich;33715990739;A078;COELSA
421;Koywe;30718756703;A079;COELSA
422;Ticket QR;33718201069;A080;COELSA
423;La Virginia;30661945369;VIRG;COELSA
424;AG Cobranzas;20297547705;A081;COELSA
425;Latin Express;33708162979;A082;COELSA
426;Leamax;30717526089;A083;COELSA
427;Elebar;30635071555;A084;COELSA
428;Leamax;30717526089;A085;COELSA
429;Consorcio Abierto;30715278266;A086;COELSA
430;Malaga;30718476425;MALA;COELSA
431;Wassa;33712055699;A087;COELSA
432;Jugadon San Luis;30605979048;A088;coelsa
433;Astropay;30717585921;A089;COELSA
434;Tarjeta Sucredito;30685709410;A090;COELSA
435;Gimnasios Argentinos;30688979389;A091;COELSA
436;We Collabs;30718194756;A092;COELSA
437;Confluencia IT;30711136483;A093;COELSA
438;Carga al Toque;33709774099;A094;COELSA
439;Jugadon Cordoba;30605979048;A095;COELSA
440;Jugadon La Rioja;30605979048;A096;COELSA
441;B&B GAS;30707728120;A097;COELSA
442;Cucuru YPF;30717688496;A098;COELSA
443;Colorin Colorado;27243370871;A099;COELSA
444;Compara en Casa;30710769873;A100;COELSA
445;Supertour;33714363749;A101;COELSA
446;COTO CICSA;30548083156;A102;COELSA
447;IVESS;30537882871;A103;COELSA
448;Vupra;30710896131;A104;COELSA
449;Freestyle;30713321709;A105;COELSA
450;Pyxpay;30717449076;A106;COELSA
451;Tienda Nube;30712019359;A107;COELSA
452;Cobro Express-Flanor;30707586377;A108;COELSA
453;Black Wallet;30717491927;A109;COELSA
454;Cuoma;30709434760;A110;COELSA
455;Remitee;33715504249;A111;COELSA
456;ZONASUR CONECTIVIDAD SRL;33718822349;A112;COELSA
457;Pagos digitales - Bingo Ciudadela;30717856283;A113;COELSA
458;KYO VIAJES;30717195945;A114;COELSA
459;PruebaJira;30500049460;JIRA;PruebaJira
460;GUMBALL;20292323868;A115;COELSA
461;One infinite;30717449076;A116;COELSA
462;NAFA;30680425813;A117;COELSA
463;VSN SA (CAVIGO);30715249584;A118;COELSA
464;Maeba;30711501939;A119;COELSA
465;Finanpro;33708484259;A120;COELSA
466;MARKAB;20200495331;A121;COELSA
467;Pago24;33711557879;A122;COELSA
468;Flecha Turismo;30711027846;A123;COELSA
469;Pagosdigitales BS;30717856283;A124;COELSA
