Id;Nombre;Codigo;FechaAlta;FechaBaja;CodigoEntidad
1;TF01;400;2023-07-21 18:27:43.1082902 +00:00;NULL;NULL
2;TF02;401;2023-07-21 18:28:04.5678961 +00:00;NULL;NULL
3;TF03;402;2023-07-21 18:28:12.1950069 +00:00;NULL;7
4;CENCOSUD;500;2023-07-21 18:28:37.1502266 +00:00;NULL;NULL
5;Astropay;501;2024-04-04 12:21:17.8400000 +00:00;NULL;NULL
6;GoCuotas;502;2024-05-17 17:11:40.9600000 +00:00;NULL;NULL
7;EStructuras Financieras;503;2024-06-05 14:53:08.2633333 +00:00;NULL;NULL
8;Sur Finanzas;504;2024-06-26 13:26:12.3943570 +00:00;2026-02-11 18:52:42.5629726 +00:00;SURF
9;TINPAY;505;2024-07-24 15:17:31.0106805 +00:00;NULL;TPAY
10;B2B Collect;507;2024-08-27 14:41:20.2948790 +00:00;NULL;B2BC
11;WICO;506;2024-09-04 13:27:11.7201478 +00:00;2026-02-11 18:53:33.1580102 +00:00;WICO
12;PayAmigo;508;2024-09-06 20:48:05.6850553 +00:00;2026-02-11 18:51:39.6184610 +00:00;PAYAMIGO
13;Pix Global;509;2024-09-12 20:19:35.2392136 +00:00;2026-04-24 20:51:20.5395409 +00:00;PIX
14;GALLO;510;2024-10-29 18:17:32.9645810 +00:00;NULL;GALLO
15;Banza;511;2024-10-31 18:35:08.8710455 +00:00;NULL;BANZA
16;Credicuotas;512;2024-11-07 11:44:47.5033869 +00:00;NULL;CREDICUOTAS
17;Leiva;513;2024-11-13 12:26:19.6539698 +00:00;2025-10-16 19:44:29.1131832 +00:00;LEIVA
18;Depay;514;2024-11-14 23:15:00.4561352 +00:00;NULL;DEPAY
19;Pagos Digitales;515;2024-12-11 19:54:45.6730084 +00:00;NULL;PADIG
20;Coinbase;516;2025-01-29 16:20:24.1650844 +00:00;NULL;COIN
21;Daxia;518;2025-02-05 19:36:00.2741353 +00:00;2026-02-11 18:51:03.4725737 +00:00;DAX
22;Servicios Virtuales;517;2025-02-10 19:14:24.3674278 +00:00;NULL;SV
23;Cencosud Dinero en Cuenta;519;2025-02-24 15:58:02.5607699 +00:00;NULL;CDEC
24;BSF;520;2025-03-05 15:44:10.2949034 +00:00;NULL;BSF
25;Banza II;521;2025-04-10 16:38:00.5261078 +00:00;NULL;BANZAII
26;Tomar Inversiones;522;2025-04-22 18:35:05.5640092 +00:00;NULL;GALLO2
27;Bolsa de Comercio del Chaco;523;2025-04-22 18:36:59.3071113 +00:00;NULL;GALLO3
28;Benajal;524;2025-05-13 14:42:11.9205066 +00:00;2026-04-24 20:51:04.5814525 +00:00;A067
29;Aceitera General Deheza;525;2025-05-21 12:38:17.1209354 +00:00;NULL;REDDY
30;La Virginia;526;2025-05-23 21:09:39.8706018 +00:00;NULL;VIRG
31;Consorcio Abierto;527;2025-06-24 04:08:36.8798422 +00:00;NULL;CA
32;Malaga;528;2025-06-24 04:12:59.3176186 +00:00;NULL;MALA
33;Inter;529;2025-07-10 20:51:23.9052550 +00:00;NULL;INTER
34;PagBrasil;530;2025-07-15 13:05:40.2211063 +00:00;NULL;PAG
35;BindX;531;2025-08-21 13:25:07.1641102 +00:00;NULL;BINDX
36;Manteca;532;2025-08-25 14:20:54.8881462 +00:00;NULL;MANTE
37;COTO;533;2025-08-25 14:22:37.2105210 +00:00;NULL;COTO
38;Pagos Digitales Tarjetas;534;2025-08-25 18:35:31.4493619 +00:00;NULL;PDT
39;Jugadon;655;2025-09-08 19:50:34.4186248 +00:00;NULL;SLOT
40;Global 66;535;2025-09-30 15:30:56.7309900 +00:00;NULL;GLOB
41;Tecnoaccion;536;2025-10-14 14:54:09.0192245 +00:00;NULL;TECNO
42;Max pay;537;2025-10-16 18:09:13.1548561 +00:00;NULL;MAXP
43;Coppel;538;2025-10-31 12:32:04.9070552 +00:00;NULL;COPPEL
44;Pyxpay;539;2025-12-04 19:48:17.3389016 +00:00;NULL;PYXPAY
45;GB PSP;540;2025-12-12 18:54:46.6239417 +00:00;NULL;GB
46;Inswitch;541;2025-12-16 17:15:46.3691489 +00:00;NULL;INSWITCH
47;Terra Blockchain;542;2025-12-18 14:00:19.4088501 +00:00;NULL;TERRA
48;Consorcio Abierto test;543;2025-12-23 19:49:39.3582858 +00:00;NULL;CONSORCIO
49;MC DONALD'S;544;2025-12-30 13:44:38.4182818 +00:00;NULL;MCDONALD
50;Global 66 (Argpagos psp);545;2026-01-26 15:41:38.4404829 +00:00;NULL;G66ARG
51;BELL INVESTMENTS;546;2026-01-27 14:47:22.1376371 +00:00;NULL;BELL
52;Beewe;547;2026-02-09 17:19:03.8724208 +00:00;NULL;BEEW
53;RIPSA;548;2026-02-12 15:52:47.6647435 +00:00;NULL;MJDH
54;Octagon;549;2026-02-19 13:44:41.1382483 +00:00;NULL;OCTA
55;PAYFI;550;2026-02-24 13:09:35.8488294 +00:00;NULL;LIGO
56;Sociedad Militar;551;2026-02-27 18:21:43.4386208 +00:00;NULL;MILI
57;Tienda nube;552;2026-03-19 13:58:46.2411517 +00:00;NULL;NUBE
58;Remitee;553;2026-04-07 12:38:37.8318649 +00:00;NULL;REMITEE
59;GST;554;2026-04-08 21:00:30.2265206 +00:00;NULL;GST
60;Coop. Union Justiniano Posse;555;2026-04-08 21:01:23.6799971 +00:00;NULL;POSSE
61;Cencopay;556;2026-04-14 13:43:38.9884020 +00:00;NULL;CENCOPAY
62;Hipodromo de palermo;557;2026-06-09 16:51:16.2213829 +00:00;NULL;HAPSA
63;Youhodler;558;2026-06-17 16:18:37.7083324 +00:00;NULL;HODLER
64;Demo Bind PSP;559;2026-07-24 19:29:27.8254202 +00:00;NULL;APKD
65;Pedidos Ya;560;2026-08-04 12:14:01.7345831 +00:00;NULL;PEYA
66;Pagos FX;561;2026-08-05 12:47:39.8144689 +00:00;NULL;PAFX
