SemanaId;EntidadId;Cantidad
202536;307;8
202536;314;1
202536;355;131
202536;407;6
202536;423;3
202537;307;9
202537;355;47
202537;360;1
202537;393;1
202537;407;1
202537;423;4
202537;429;4
202537;441;1
202537;443;1
202538;307;7
202538;355;26
202538;378;1
202538;444;1
202539;307;8
202539;355;18
202539;360;2
202539;378;3
202539;423;1
202539;430;1
202540;307;4
202540;355;6
202540;360;2
202540;378;9
202540;445;1
202541;307;4
202541;355;4
202541;378;2
202541;423;1
202541;430;1
202541;447;1
202542;307;6
202542;308;1
202542;333;2
202542;355;5
202542;360;7
202542;378;1
202542;429;4
202542;430;1
202542;448;1
202543;307;4
202543;308;10
202543;333;1
202543;378;3
202543;423;2
202543;449;1
202544;307;7
202544;333;1
202544;355;3
202544;378;2
202545;307;5
202545;333;1
202545;355;2
202545;360;1
202545;407;7
202545;423;1
202545;430;1
202545;446;1
202545;451;1
202546;307;2
202546;320;2
202546;332;2
202546;333;2
202546;360;2
202546;378;2
202546;407;2
202546;423;4
202546;446;121
202546;452;1
202547;307;6
202547;348;3
202547;376;2
202547;423;13
202547;452;2
202547;454;1
202547;455;1
202547;456;1
202547;458;1
202548;307;4
202548;423;7
202548;446;2
202548;447;1
202548;450;1
202548;452;13
202548;453;3
202549;307;5
202549;355;1
202549;360;6
202549;407;12
202549;416;1
202549;423;102
202549;429;1
202549;452;10
202550;301;2
202550;307;2
202550;423;88
202550;452;8
202550;460;3
202550;461;1
202550;462;1
202550;464;1
202550;465;1
202551;301;1
202551;307;4
202551;360;2
202551;368;1
202551;423;10
202551;429;1
202551;452;9
202551;457;2
202551;466;1
202551;468;1
202552;307;3
202552;320;1
202552;378;2
202552;423;6
202552;429;3
202552;452;2
202552;463;2
202601;423;17
202601;429;1
202601;446;1
202601;470;1
202602;307;3
202602;360;1
202602;423;78
202602;450;1
202602;470;1
202602;472;1
202603;307;3
202603;332;1
202603;360;1
202603;378;3
202603;386;1
202603;423;85
202603;473;1
202604;307;3
202604;348;3
202604;378;2
202604;423;53
202604;452;4
202604;470;1
202604;471;1
202604;473;1
202605;301;1
202605;302;1
202605;423;55
202605;448;1
202605;452;21
202605;470;1
202605;474;1
202606;302;1
202606;333;1
202606;423;59
202606;475;1
202606;476;1
202606;477;3
202607;301;1
202607;307;2
202607;423;72
202608;307;2
202608;378;2
202608;423;42
202609;307;1
202609;318;1
202609;333;2
202609;377;1
202609;382;3
202609;423;91
202609;470;4
202609;479;3
202610;301;1
202610;318;1
202610;362;2
202610;371;2
202610;378;1
202610;423;92
202610;429;1
202610;469;1
202610;478;6
202610;480;1
202611;307;1
202611;360;2
202611;377;1
202611;423;75
202611;478;4
202611;481;1
202611;482;1
202612;301;2
202612;318;2
202612;332;1
202612;423;50
202613;318;2
202613;333;1
202613;362;585
202613;414;1
202613;423;48
202613;429;2
202613;448;1
202613;483;1
202613;484;1
202613;485;1
202614;307;1
202614;360;1
202614;423;20
202615;301;1
202615;307;1
202615;423;31
202615;448;1
202615;478;2
202615;486;3
202616;307;1
202616;308;12
202616;333;1
202616;423;43
202616;452;52
202616;487;1
202617;333;1
202617;362;3
202617;371;1
202617;423;57
202617;429;13
202617;452;19
202617;489;6
202618;382;1
202618;423;53
202618;429;1
202618;452;5
202618;488;1
202618;490;1
202618;491;1
202618;492;2
202619;305;1
202619;307;2
202619;333;2
202619;360;2
202619;423;47
202619;429;8
202619;430;1
202619;452;8
202619;478;1
202619;493;1
202620;307;2
202620;308;1
202620;332;1
202620;333;4
202620;423;30
202620;429;7
202620;430;3
202620;452;10
202620;495;1
202621;378;2
202621;423;31
202621;429;13
202621;470;8
202621;494;1
202622;307;1
202622;360;2
202622;382;1
202622;423;30
202622;429;13
202622;470;7
202622;496;1
202622;497;1
202622;498;3
202622;499;1
202622;500;1
202623;308;1
202623;378;2
202623;423;18
202623;501;3
202624;307;1
202624;308;4
202624;332;1
202624;360;4
202624;378;1
202624;423;16
202624;429;12
202624;470;2
202624;478;2
202624;501;21
202624;502;1
202625;360;264
202625;378;3
202625;391;1
202625;423;19
202625;429;19
202625;452;12
202625;470;1
202625;503;3
202626;307;1
202626;333;1
202626;360;1
202626;378;1
202626;423;7
202626;429;5
202626;452;20
202626;504;1
202627;307;2
202627;360;2
202627;382;1
202627;423;6
202627;429;15
202628;423;11
202628;429;11
202628;505;3
202629;307;1
202629;308;1
202629;360;2
202629;378;2
202629;429;17
202629;475;5
202629;506;1
202629;507;1
202629;508;1
202630;301;1
202630;308;1
202630;378;1
202630;423;10
202630;429;34
202630;501;1
202630;502;1
202630;509;2
202631;301;1
202631;308;1
202631;360;1
202631;371;1
202631;423;70
202631;429;35
202631;510;5
202631;511;1
202632;307;1
202632;333;2
202632;360;2
202632;371;2
202632;423;161
202632;429;2
202632;470;1
202632;510;3
202632;512;1
202632;513;1
202632;514;1
202632;515;1
202632;516;2
202633;307;1
202633;423;142
202633;429;2
202633;472;1
202633;501;1
202633;514;2
202634;301;1
202634;308;2
202634;360;1
202634;423;107
202634;429;8
202634;501;1
202634;514;19
202635;301;1
202635;308;1
202635;360;3
202635;423;135
202635;429;7
202635;501;1
202635;514;3
202635;517;1
