SemanaId;OrganizacionId;Cantidad
202536;3;1
202536;4;3171
202536;5;20269
202536;8;135
202536;9;723
202536;11;1
202536;13;9
202536;14;107
202536;15;238
202536;16;21
202536;24;3880
202536;30;4
202536;33;4
202537;4;4156
202537;5;51279
202537;8;47
202537;9;1083
202537;13;6
202537;14;91
202537;15;159
202537;16;3
202537;19;4
202537;24;4030
202537;30;4
202537;31;4
202537;33;4
202538;3;3
202538;4;3815
202538;5;26121
202538;8;26
202538;9;737
202538;13;3
202538;14;127
202538;15;197
202538;16;1
202538;24;6886
202538;33;1
202538;34;1
202539;3;1
202539;4;3403
202539;5;21417
202539;8;18
202539;9;1100
202539;11;2
202539;13;1
202539;14;225
202539;15;225
202539;19;1
202539;24;8070
202539;30;1
202539;31;3
202539;32;1
202539;33;8
202540;3;1
202540;4;3296
202540;5;21625
202540;8;5
202540;9;994
202540;13;12
202540;14;159
202540;15;277
202540;18;1
202540;24;11576
202540;31;5
202540;33;10
202540;40;1
202541;4;3880
202541;5;24611
202541;8;4
202541;9;1085
202541;11;1
202541;13;6
202541;14;173
202541;15;257
202541;24;10277
202541;25;1
202541;30;1
202541;31;2
202541;32;1
202541;33;3
202542;3;3
202542;4;3716
202542;5;20202
202542;8;5
202542;9;941
202542;13;7
202542;14;225
202542;15;217
202542;19;2
202542;24;12042
202542;31;51
202543;3;1
202543;4;3047
202543;5;17471
202543;9;798
202543;13;8
202543;14;197
202543;15;230
202543;19;3
202543;24;8243
202543;30;2
202543;33;1
202544;3;2
202544;4;2918
202544;5;15664
202544;8;3
202544;9;875
202544;13;4
202544;14;198
202544;15;236
202544;19;1
202544;24;8273
202544;33;2
202544;42;1
202545;4;2770
202545;5;16028
202545;8;2
202545;9;777
202545;13;3
202545;14;162
202545;15;186
202545;16;2
202545;24;9766
202545;27;1
202545;30;1
202545;31;1
202545;32;1
202545;33;5
202545;37;1
202545;42;2
202546;3;3
202546;4;2636
202546;5;16208
202546;9;948
202546;13;2
202546;14;128
202546;15;208
202546;16;21
202546;24;8089
202546;27;8
202546;30;4
202546;33;20
202546;36;4
202546;37;1
202546;42;3
202547;3;1
202547;4;2573
202547;5;21114
202547;9;987
202547;13;1
202547;14;112
202547;15;202
202547;16;114
202547;18;2
202547;19;1
202547;24;6251
202547;27;3
202547;30;13
202547;33;12
202547;37;1
202547;42;1
202547;43;7
202548;3;2
202548;4;2540
202548;5;18107
202548;8;3
202548;9;1035
202548;11;3
202548;13;2
202548;14;121
202548;15;164
202548;16;5
202548;18;1
202548;24;7780
202548;27;13
202548;30;10
202548;33;5
202548;43;16
202549;3;3
202549;4;2290
202549;5;19156
202549;6;1
202549;8;1
202549;9;708
202549;13;3
202549;14;97
202549;15;184
202549;16;199
202549;19;1
202549;24;12345
202549;27;2
202549;30;104
202549;31;46
202549;33;1
202549;37;1
202549;43;23
202550;4;2459
202550;5;17295
202550;8;4
202550;9;1000
202550;14;81
202550;15;205
202550;16;2306
202550;19;6
202550;24;11291
202550;27;3
202550;30;29
202550;33;12
202550;42;4
202550;43;17
202551;3;1
202551;4;2594
202551;5;17594
202551;9;923
202551;14;123
202551;15;203
202551;16;13140
202551;19;25
202551;24;14499
202551;27;4
202551;30;10
202551;31;6
202551;33;4
202551;37;5
202551;43;6
202551;44;1
202551;45;3
202552;4;2049
202552;5;19108
202552;8;2
202552;9;1032
202552;13;5
202552;14;79
202552;15;180
202552;16;7969
202552;19;65
202552;24;11891
202552;27;5
202552;30;6
202552;31;4
202552;33;3
202552;37;13
202552;42;2
202552;43;1
202552;44;1
202552;47;1
202601;3;4
202601;4;2139
202601;5;21342
202601;9;1075
202601;14;99
202601;15;134
202601;16;8088
202601;19;1338
202601;21;1
202601;24;11604
202601;27;7
202601;30;18
202601;31;3
202601;33;1
202601;37;6
202601;43;1
202602;3;3
202602;4;2507
202602;5;25273
202602;8;1
202602;9;1268
202602;11;1
202602;13;3
202602;14;153
202602;15;145
202602;16;11524
202602;19;1019
202602;21;1
202602;24;15139
202602;27;6
202602;30;78
202602;31;4
202602;33;1
202602;37;15
202602;42;1
202602;48;1
202603;4;2501
202603;5;23304
202603;9;1260
202603;13;1
202603;14;172
202603;15;194
202603;16;9388
202603;19;787
202603;24;13006
202603;27;4
202603;30;85
202603;31;2
202603;33;13
202603;37;1
202603;43;1
202603;47;4
202603;48;1
202604;3;1
202604;4;2235
202604;5;22256
202604;9;1177
202604;11;3
202604;14;160
202604;15;212
202604;16;15753
202604;19;750
202604;24;12048
202604;27;7
202604;28;1
202604;30;53
202604;33;45
202604;37;2
202604;43;1
202604;47;11
202604;48;1
202604;49;1
202605;3;7
202605;4;2305
202605;5;20584
202605;6;1
202605;9;1183
202605;14;240
202605;15;181
202605;16;29811
202605;19;34
202605;24;11402
202605;27;9
202605;30;55
202605;33;24
202605;42;1
202605;47;4
202605;48;1
202605;49;4
202606;4;2290
202606;5;22959
202606;9;1014
202606;14;407
202606;15;133
202606;16;28948
202606;19;114
