SemanaId;OrganizacionId;TipoOperacionId;EstadoId;Cantidad;Volumen
202536;3;1;2;1;1
202536;3;3;2;7;18.60
202536;3;3;3;3;11
202536;3;3;6;2;9.40
202536;4;1;2;37155;11212656054.11
202536;4;1;3;274;85269490.57
202536;4;2;2;77100;16601290393.55
202536;4;3;2;1987;39677896.15
202536;4;3;3;95;2043611.42
202536;4;3;6;3;431538.70
202536;4;3;7;1;227000
202536;4;4;2;171;94594393.98
202536;4;5;2;171;94594393.98
202536;5;1;2;671511;33260221177.88
202536;5;1;3;8101;516606495.16
202536;5;2;2;1413710;41754996578.47
202536;5;3;2;36259;559823743.19
202536;5;3;3;1957;30303405.84
202536;5;3;6;31;1328457.53
202536;5;3;7;2;77900
202536;5;4;2;744;51060620.45
202536;5;5;2;744;51060620.45
202536;6;2;2;3;160000000
202536;6;3;2;7458;170978264.42
202536;6;3;3;517;14223929.46
202536;6;3;6;58;1690338.26
202536;8;1;2;3165;3969312109.29
202536;8;1;3;38;15293434.20
202536;8;2;2;15092;3401244391.94
202536;8;4;2;10;40246547.38
202536;8;5;2;10;40246547.38
202536;9;1;2;2568;32899911.12
202536;9;1;3;31;415440
202536;9;2;2;7248;82012870.74
202536;9;3;2;574;14881794.38
202536;9;3;3;25;719950
202536;9;3;6;5;102
202536;9;3;7;1;20
202536;9;4;2;35;800987.08
202536;9;5;2;35;800987.08
202536;9;7;2;7832;28268512
202536;9;13;2;1;100
202536;11;2;2;1;142
202536;13;1;2;1441;205559935.43
202536;13;1;3;18;1779819
202536;13;2;2;106;193750309.32
202536;13;3;2;1;10
202536;13;3;3;1;1
202536;13;4;2;19;19429520
202536;13;5;2;19;19429520
202536;14;1;2;506;869242653.59
202536;14;1;3;26;50618823.53
202536;14;2;2;850;856180948.59
202536;14;3;2;48;532980.20
202536;14;3;3;4;39432
202536;14;4;2;1558;894015696.41
202536;14;5;2;1558;894015696.41
202536;15;1;2;9726;1888749791.27
202536;15;1;3;139;22992780.98
202536;15;2;2;50722;1997100597.14
202536;15;3;2;4;20250
202536;15;4;2;2477;926245250.96
202536;15;5;2;2477;926245250.96
202536;16;1;2;16;33453
202536;16;1;3;8;8998
202536;16;2;2;21;300452
202536;16;3;2;106;3691192.41
202536;16;3;3;4;61082.30
202536;18;2;2;229;239757886.18
202536;18;3;2;11001;229482486.75
202536;18;3;3;345;6251423.88
202536;18;3;6;8;327300.09
202536;19;1;2;21;7912963.58
202536;19;2;2;30;14151801
202536;20;1;2;43;6669578.58
202536;20;2;2;113;7935276.82
202536;20;9;2;45;3571842
202536;20;9;5;30;853385
202536;20;10;2;9;2533.05
202536;22;1;2;5;53754411.54
202536;22;1;3;8;93626633.40
