SemanaId;EntidadIdentificador;TipoTransaccion;FormadePago;Estado;Cantidad;Volumen
202536;6;1;40;ACREDITADO;16;1867000
202536;6;6;60;ACREDITADO;6;313
202536;6;6;60;RECHAZADA;5;100
202536;6;6;90;ACREDITADO;1676;97114122.46
202536;6;6;90;RECHAZADA;381;25492935.79
202536;A009;1;40;ACREDITADO;373;56711765.36
202536;A012;9;20;ACREDITADO;91;14210503.49
202536;A014;9;20;ACREDITADO;24;1303540.12
202536;A015;6;90;ACREDITADO;1;100
202536;A016;1;40;ACREDITADO;267;39217663.89
202536;A016;6;90;ACREDITADO;141;22798678.12
202536;A016;6;90;RECHAZADA;15;2398373.95
202536;A020;4;10;ACREDITADO;1;108700
202536;A020;4;60;ACREDITADO;11;173600
202536;A020;4;80;ACREDITADO;34;1067831.69
202536;A020;4;80;RECHAZADA;4;77839.58
202536;A020;4;90;ACREDITADO;215;6017131.56
202536;A020;4;90;RECHAZADA;6;99992.92
202536;A020;9;20;ACREDITADO;2;51000
202536;A022;9;20;ACREDITADO;171;970112
202536;A023;1;40;ACREDITADO;5;1075.65
202536;A023;6;90;ACREDITADO;39;6464860.19
202536;A023;6;90;RECHAZADA;11;679692.60
202536;A024;1;40;ACREDITADO;1693;327549519.54
202536;A024;6;80;ACREDITADO;85;22854800
202536;A024;6;80;RECHAZADA;267;194796280
202536;A024;6;90;ACREDITADO;241;50487270
202536;A024;6;90;RECHAZADA;80;30943800
202536;A025;6;90;ACREDITADO;12;1633205.31
202536;A026;9;20;ACREDITADO;2;11
202536;A027;9;20;ACREDITADO;3148;324576451
202536;A027;9;20;DEVUELTA;16;2301424
202536;A027;9;20;RECHAZADA;34;7563939
202536;A031;1;40;ACREDITADO;29;708279.75
202536;A031;9;20;ACREDITADO;86;1073964.01
202536;A032;4;10;DEVUELTA;2;46
202536;A032;4;80;DEVUELTA;1;25
202536;A032;4;90;DEVUELTA;1;21
202536;A032;9;20;ACREDITADO;2;22
202536;A032;9;20;DEVUELTA;2;43
202536;A035;6;90;ACREDITADO;363;65525515.08
202536;A035;6;90;RECHAZADA;49;9041941.11
202536;A037;6;90;ACREDITADO;17;1203424.64
202536;A038;1;40;ACREDITADO;23127;4944540672.15
202536;A038;6;80;ACREDITADO;126;47382187.86
202536;A038;6;80;RECHAZADA;567;292806275.38
202536;A040;1;40;ACREDITADO;302;60943681.52
202536;A041;9;20;ACREDITADO;23;2518203.83
202536;A041;9;20;RECHAZADA;1;753622.94
202536;A042;9;20;ACREDITADO;1529;102548921.78
202536;A042;9;20;DEVUELTA;3;2241651.93
202536;A042;9;20;RECHAZADA;15;768893.47
202536;A045;1;40;ACREDITADO;7094;1205185995.06
202536;A046;4;80;ACREDITADO;30;768500
202536;A046;4;90;ACREDITADO;162;3647000
202536;A046;9;20;ACREDITADO;1143;40357589.14
202536;A046;9;20;DEVUELTA;1;56000
202536;A046;9;20;RECHAZADA;6;126000
202536;A052;1;40;ACREDITADO;103;18129034.83
202536;A053;4;60;ACREDITADO;253;4165102.43
202536;A053;4;60;RECHAZADA;21;2470653
202536;A053;4;80;ACREDITADO;349;10650352.81
202536;A053;4;80;RECHAZADA;54;5307160.80
202536;A053;4;90;ACREDITADO;802;17690518.82
202536;A053;4;90;RECHAZADA;39;2100601
202536;A053;9;20;ACREDITADO;2398;35601148.99
202536;A053;9;20;RECHAZADA;8;141780
202536;A055;9;20;ACREDITADO;3462;49649957.54
202536;A055;9;20;RECHAZADA;16;223249
202536;A058;9;20;ACREDITADO;11;10343468
202536;A058;9;20;RECHAZADA;1;1490000
202536;A060;9;20;ACREDITADO;318;102885459.56
202536;A060;9;20;RECHAZADA;2;829326
202536;A062;9;20;ACREDITADO;42;365400
202536;A063;9;20;ACREDITADO;31;705755
202536;A064;1;40;ACREDITADO;106;1703100
202536;A065;4;60;ACREDITADO;30;580394.83
202536;A065;4;60;RECHAZADA;2;10015.02
202536;A065;4;80;ACREDITADO;21;1139788.06
202536;A065;4;80;DEVUELTA;3;224990
202536;A065;4;80;RECHAZADA;7;1108155.66
202536;A065;4;90;ACREDITADO;99;1212785.97
202536;A065;4;90;DEVUELTA;1;126
202536;A065;4;90;RECHAZADA;3;633983.43
202536;A065;9;20;ACREDITADO;4;67933.09
202536;A066;9;20;ACREDITADO;599;16115283.80
202536;A066;9;20;RECHAZADA;1;12675.02
202536;A067;9;20;ACREDITADO;478;16605653.09
202536;A067;9;20;RECHAZADA;3;149399.71
202536;A069;1;40;ACREDITADO;2296;183660207.38
202536;A070;9;20;ACREDITADO;1458;169129400
202536;A070;9;20;DEVUELTA;46;5337500
202536;A070;9;20;RECHAZADA;36;5740700
202536;A071;6;60;ACREDITADO;2;1002
202536;A071;6;60;DEVUELTA;3;1503
202536;A071;6;80;RECHAZADA;2;1002
202536;A071;6;90;DEVUELTA;1;501
202536;A072;6;80;ACREDITADO;9;1244250
202536;A072;6;80;RECHAZADA;5;691250
202536;A072;6;90;ACREDITADO;1032;91412851.20
202536;A072;6;90;RECHAZADA;126;12178998.40
202536;A073;9;20;ACREDITADO;5;1481
202536;A073;9;20;DEVUELTA;20;119131
202536;A074;1;40;ACREDITADO;4;2076444.36
202536;A076;9;20;ACREDITADO;81;12349325.30
202536;A076;9;20;RECHAZADA;8;1196000
202536;A077;6;80;ACREDITADO;6;432500
202536;A077;6;80;RECHAZADA;3;252000
202536;A077;6;90;ACREDITADO;1;84000
202536;A078;9;20;ACREDITADO;565;101533434.68
202536;A078;9;20;DEVUELTA;29;3727029.87
202536;A078;9;20;RECHAZADA;10;2877302.49
202536;A080;1;40;ACREDITADO;1757;22629114.40
202536;A081;1;40;ACREDITADO;54;6672145.69
202536;A082;9;20;ACREDITADO;207;29120271.99
202536;A082;9;20;RECHAZADA;6;1976200
202536;A084;1;40;ACREDITADO;3482;428349715.22
202536;A086;1;40;ACREDITADO;2;50
202536;A087;1;40;ACREDITADO;6;1660190
202536;A089;1;40;ACREDITADO;387;8376569.53
202536;A090;1;40;ACREDITADO;4721;849744511.82
202536;A094;9;20;ACREDITADO;198;863701
202536;A095;1;40;ACREDITADO;1553;18834763.68
202536;A098;1;40;ACREDITADO;2;2.01
202536;B;1;40;ACREDITADO;1;2
202536;B;4;10;ACREDITADO;2;446895
202536;B;4;10;RECHAZADA;1;90000
202536;B;4;60;ACREDITADO;158;1340065.89
202536;B;4;60;RECHAZADA;8;32902.50
202536;B;4;80;ACREDITADO;148;3811933.05
202536;B;4;80;RECHAZADA;13;305049.33
202536;B;4;90;ACREDITADO;814;12157672
202536;B;4;90;RECHAZADA;21;375733.26
